Target	Effector	Median_FCC	MAD
RuBisC	RuBisC	0.011676	0.049177
RuBisC	PGK	0.0015079	0.00207945
RuBisC	GAPD	0.0015765	0.0021060000000000002
RuBisC	TPI	0.0084145	0.015465499999999998
RuBisC	ALD	-0.0067525	0.006733587
RuBisC	TKT1	0.01156	0.011109999999999998
RuBisC	TKT2	-0.00069409	0.010610910000000001
RuBisC	FBPase	0.014548	0.0122696
RuBisC	FBA	0.0185	0.018415827
RuBisC	SBPase	0.05106	0.050429999999999996
RuBisC	RPI	0.0042539	0.0109551
RuBisC	RPE	0.0047747	0.005423300000000001
RuBisC	PRK	0.047883	0.04717899999999999
RuBisC	PGM	0.035486	0.032171
RuBisC	ENO	0.0047788	0.004855336
RuBisC	PYK	0.016072	0.0084919
RuBisC	PDH	0.0056098	0.0044363
RuBisC	XFPK1	0.0059494	0.006045424
RuBisC	XFPK2	0.00024776	0.000325373
RuBisC	PTA	0.0020279	0.00246446
RuBisC	ATPSyn	0.0051361	0.012119000000000001
RuBisC	NADPase	0.076977	0.09475299999999999
RuBisC	PNT	-7.3099e-05	0.00042040899999999995
RuBisC	PGI	-0.013767	0.011644
RuBisC	ZWF	0.00049258	0.0003634100000000001
RuBisC	DEVB	0.00019785	0.00017715300000000002
RuBisC	GND	3.8554e-05	3.7966289999999995e-05
RuBisC	CS	0.0061762	0.004618800000000001
RuBisC	ACO	0.0024623	0.0022601
RuBisC	ICD	0.00053343	0.000514632
RuBisC	MDH	0.0050483	0.0035884000000000003
RuBisC	PPK	0.0034344	0.00297035
RuBisC	ME	0.0077636	0.0064484
RuBisC	PGP	2.5577e-20	2.7961577000000004e-17
RuBisC	GLCO	0.0	1.5762e-17
RuBisC	RuBisO	0.01347	0.0184236
RuBisC	FUMC	-0.0052711	0.006387899999999999
RuBisC	TAL	0.0067352	0.0265452
RuBisC	Sink_R5P	-0.044158	0.025131000000000004
RuBisC	Sink_E4P	-0.011257	0.006046299999999999
RuBisC	Sink_PYR	0.0057722	0.0084958
RuBisC	Sink_P3G	-0.15608	0.09062
RuBisC	Sink_O2G	0.00013182	0.00013164925
RuBisC	Sink_G6P	-0.043424	0.031901
RuBisC	Sink_GLX	4.8779e-22	1.454851221e-17
RuBisC	Sink_H2O2	-1.7949e-24	1.59509982051e-17
RuBisC	Sink_OAA	0.074116	0.040283
RuBisC	Sink_ACCOA	-0.0011157	0.0048239
RuBisC	Supply_COA	0.0023712	0.003544
RuBisC	Supply_P_i	0.51031	0.26220000000000004
RuBisC	Supply_FUM	-0.00362	0.0048491
PGK	RuBisC	-0.014751	0.048808
PGK	PGK	0.0019966	0.0023175000000000005
PGK	GAPD	0.0020796	0.0023477999999999997
PGK	TPI	0.01345	0.017711
PGK	ALD	-0.0069961	0.00724157
PGK	TKT1	0.011591	0.011402180000000001
PGK	TKT2	-0.0033751	0.0113336
PGK	FBPase	0.016949	0.013133399999999998
PGK	FBA	0.023324	0.022088
PGK	SBPase	0.063906	0.059154
PGK	RPI	0.0011142	0.0111682
PGK	RPE	0.0031249	0.0052505
PGK	PRK	0.027558	0.049555
PGK	PGM	0.03992	0.031842999999999996
PGK	ENO	0.0056106	0.005318740000000001
PGK	PYK	0.013895	0.0079911
PGK	PDH	0.0047184	0.00414926
PGK	XFPK1	0.0090134	0.0075379999999999996
PGK	XFPK2	0.00040515	0.000388745
PGK	PTA	0.0034388	0.00336587
PGK	ATPSyn	0.001292	0.011765
PGK	NADPase	0.096096	0.107194
PGK	PNT	-6.2119e-05	0.000401579
PGK	PGI	-0.01138	0.01038659
PGK	ZWF	0.00055138	0.00038686000000000005
PGK	DEVB	0.00022556	0.00019873
PGK	GND	4.4012e-05	4.3213409999999996e-05
PGK	CS	0.0060197	0.0044855
PGK	ACO	0.0024222	0.0022351899999999997
PGK	ICD	0.00052103	0.000505876
PGK	MDH	0.0042919	0.0032729000000000005
PGK	PPK	0.0030422	0.00271884
PGK	ME	0.0068795	0.0058905
PGK	PGP	9.489e-19	2.6727489e-15
PGK	GLCO	9.3663e-20	1.044193663e-15
PGK	RuBisO	0.040064	0.019135000000000003
PGK	FUMC	-0.0044184	0.0064483000000000006
PGK	TAL	0.015301	0.029246
PGK	Sink_R5P	-0.041431	0.026969000000000003
PGK	Sink_E4P	-0.011362	0.006561999999999998
PGK	Sink_PYR	0.0054873	0.008251
PGK	Sink_P3G	-0.19104	0.09852699999999999
PGK	Sink_O2G	0.00012705	0.00012698195899999999
PGK	Sink_G6P	-0.035949	0.029475400000000002
PGK	Sink_GLX	1.7264e-21	1.1925017264e-15
PGK	Sink_H2O2	3.1422e-22	1.3300003142199998e-15
PGK	Sink_OAA	0.065353	0.03870199999999999
PGK	Sink_ACCOA	-0.00082067	0.00497713
PGK	Supply_COA	0.00318	0.00391935
PGK	Supply_P_i	0.5725	0.27516
PGK	Supply_FUM	-0.0029573	0.0049244
GAPD	RuBisC	-0.014751	0.048808
GAPD	PGK	0.0019966	0.0023175000000000005
GAPD	GAPD	0.0020796	0.0023477999999999997
GAPD	TPI	0.01345	0.017711
GAPD	ALD	-0.0069961	0.00724157
GAPD	TKT1	0.011591	0.011402180000000001
GAPD	TKT2	-0.0033751	0.0113336
GAPD	FBPase	0.016949	0.013133399999999998
GAPD	FBA	0.023324	0.022088
GAPD	SBPase	0.063906	0.059154
GAPD	RPI	0.0011142	0.0111682
GAPD	RPE	0.0031249	0.0052505
GAPD	PRK	0.027558	0.049555
GAPD	PGM	0.03992	0.031842999999999996
GAPD	ENO	0.0056106	0.005318740000000001
GAPD	PYK	0.013895	0.0079911
GAPD	PDH	0.0047184	0.00414926
GAPD	XFPK1	0.0090134	0.0075379999999999996
GAPD	XFPK2	0.00040515	0.000388745
GAPD	PTA	0.0034388	0.00336587
GAPD	ATPSyn	0.001292	0.011765
GAPD	NADPase	0.096096	0.107194
GAPD	PNT	-6.2119e-05	0.000401579
GAPD	PGI	-0.01138	0.01038659
GAPD	ZWF	0.00055138	0.00038686000000000005
GAPD	DEVB	0.00022556	0.00019873
GAPD	GND	4.4012e-05	4.3213409999999996e-05
GAPD	CS	0.0060197	0.0044855
GAPD	ACO	0.0024222	0.0022351899999999997
GAPD	ICD	0.00052103	0.000505876
GAPD	MDH	0.0042919	0.0032729000000000005
GAPD	PPK	0.0030422	0.00271884
GAPD	ME	0.0068795	0.0058905
GAPD	PGP	8.5804e-19	2.61065804e-15
GAPD	GLCO	3.7593e-20	1.0186375930000001e-15
GAPD	RuBisO	0.040064	0.019135000000000003
GAPD	FUMC	-0.0044184	0.0064483000000000006
GAPD	TAL	0.015301	0.029246
GAPD	Sink_R5P	-0.041431	0.026969000000000003
GAPD	Sink_E4P	-0.011362	0.006561999999999998
GAPD	Sink_PYR	0.0054873	0.008251
GAPD	Sink_P3G	-0.19104	0.09852699999999999
GAPD	Sink_O2G	0.00012705	0.00012698195899999999
GAPD	Sink_G6P	-0.035949	0.029475400000000002
GAPD	Sink_GLX	3.5781e-20	1.166835781e-15
GAPD	Sink_H2O2	3.0168e-21	1.3028030168e-15
GAPD	Sink_OAA	0.065353	0.03870199999999999
GAPD	Sink_ACCOA	-0.00082067	0.00497713
GAPD	Supply_COA	0.00318	0.00391935
GAPD	Supply_P_i	0.5725	0.27516
GAPD	Supply_FUM	-0.0029573	0.0049244
TPI	RuBisC	-0.018344	0.048554
TPI	PGK	0.0019581	0.0023210699999999997
TPI	GAPD	0.0020394	0.0023527000000000005
TPI	TPI	0.016763	0.019435
TPI	ALD	-0.0071503	0.00766935
TPI	TKT1	0.01067	0.011513830000000001
TPI	TKT2	-0.0051984	0.011967600000000002
TPI	FBPase	0.018395	0.013846999999999998
TPI	FBA	0.0265	0.024529
TPI	SBPase	0.072182	0.065168
TPI	RPI	0.00054505	0.01169505
TPI	RPE	0.0022917	0.0055835
TPI	PRK	0.020157	0.051807
TPI	PGM	0.041094	0.032096000000000006
TPI	ENO	0.0058223	0.00543352
TPI	PYK	0.012747	0.008097000000000002
TPI	PDH	0.0034911	0.00416599
TPI	XFPK1	0.014529	0.009544
TPI	XFPK2	0.00069605	0.00049963
TPI	PTA	0.00623	0.005485530000000001
TPI	ATPSyn	-0.0033836	0.012754399999999999
TPI	NADPase	0.096446	0.108102
TPI	PNT	-7.6632e-05	0.00038813199999999996
TPI	PGI	-0.010832	0.01033064
TPI	ZWF	0.00068205	0.00044820000000000005
TPI	DEVB	0.00028357	0.00024388999999999997
TPI	GND	5.5787e-05	5.44438e-05
TPI	CS	0.0062046	0.0046684000000000005
TPI	ACO	0.0024773	0.00229914
TPI	ICD	0.00053196	0.0005184530000000001
TPI	MDH	0.0038755	0.00318672
TPI	PPK	0.0028639	0.0026249999999999997
TPI	ME	0.0060195	0.00558136
TPI	PGP	-2.5205e-19	1.8012795e-16
TPI	GLCO	-2.9777e-21	7.93270223e-17
TPI	RuBisO	0.03942	0.019563999999999998
TPI	FUMC	-0.0044083	0.0064732
TPI	TAL	0.019811	0.031168
TPI	Sink_R5P	-0.045411	0.028386
TPI	Sink_E4P	-0.01329	0.0068761
TPI	Sink_PYR	0.0062041	0.0082986
TPI	Sink_P3G	-0.19941	0.10287500000000001
TPI	Sink_O2G	0.00012875	0.00012871938
TPI	Sink_G6P	-0.034766	0.030146399999999997
TPI	Sink_GLX	1.9776e-21	8.21210224e-17
TPI	Sink_H2O2	-3.9809e-23	9.230803980900001e-17
TPI	Sink_OAA	0.062959	0.039367
TPI	Sink_ACCOA	-0.00060863	0.00557753
TPI	Supply_COA	0.0044304	0.00485975
TPI	Supply_P_i	0.58824	0.28437999999999997
TPI	Supply_FUM	-0.0029498	0.004954900000000001
ALD	RuBisC	0.0072161	0.1813861
ALD	PGK	-3.8402e-05	0.006818602
ALD	GAPD	-4.9915e-05	0.006942085
ALD	TPI	-0.009906	0.151234
ALD	ALD	0.27335	0.20857000000000003
ALD	TKT1	-0.18696	0.15973
