Target	Effector	Median_FCC	MAD
RuBisC	RuBisC	0.0064262	0.0479818
RuBisC	PGK	0.0015337	0.0019844
RuBisC	GAPD	0.0015986	0.00200972
RuBisC	TPI	0.0072206	0.013659399999999999
RuBisC	ALD	-0.0060027	0.0058942299999999994
RuBisC	TKT1	0.010655	0.01005491
RuBisC	TKT2	-0.00043638	0.00943978
RuBisC	FBPase	0.012547	0.010208999999999998
RuBisC	FBA	0.015804	0.01568754
RuBisC	SBPase	0.043104	0.042193999999999995
RuBisC	RPI	0.0039983	0.0102709
RuBisC	RPE	0.004128	0.0049274
RuBisC	PRK	0.043827	0.04634
RuBisC	PGM	0.032092	0.030512000000000004
RuBisC	ENO	0.0042728	0.0045249800000000005
RuBisC	PYK	0.015088	0.0084184
RuBisC	PDH	0.0022542	0.005669
RuBisC	XFPK1	0.0029292	0.0063363
RuBisC	XFPK2	0.00010024	0.00034396000000000003
RuBisC	PTA	0.00080944	0.00263224
RuBisC	ATPSyn	0.0082422	0.012625800000000001
RuBisC	NADPase	0.081322	0.095698
RuBisC	PNT	-0.00023219	0.00047129999999999996
RuBisC	PGI	-0.011234	0.010003999999999999
RuBisC	ZWF	0.00048855	0.00034519
RuBisC	DEVB	0.00019962	0.00017557399999999998
RuBisC	GND	3.9049e-05	3.826321e-05
RuBisC	CS	0.00079895	0.00820105
RuBisC	ACO	0.0094177	0.007818300000000002
RuBisC	ICD	0.0022425	0.00212225
RuBisC	MDH	0.0049251	0.0035601999999999995
RuBisC	PPK	0.0030593	0.00280948
RuBisC	ME	0.0065501	0.0063368999999999995
RuBisC	PGP	3.4309e-20	2.7040309e-17
RuBisC	GLCO	3.2665e-21	1.54987335e-17
RuBisC	RuBisO	0.016914	0.018084000000000003
RuBisC	FUMC	-0.0082366	0.00758898
RuBisC	TAL	0.0053589	0.0234239
RuBisC	Sink_R5P	-0.039152	0.0232
RuBisC	Sink_E4P	-0.0103	0.0055977
RuBisC	Sink_PYR	0.01322	0.012043300000000002
RuBisC	Sink_P3G	-0.14649	0.08481200000000001
RuBisC	Sink_O2G	0.00055605	0.00055526125
RuBisC	Sink_G6P	-0.03637	0.028331999999999996
RuBisC	Sink_GLX	1.1379e-21	1.4369862099999998e-17
RuBisC	Sink_H2O2	0.0	1.5787e-17
RuBisC	Sink_OAA	0.086175	0.041784
RuBisC	Sink_ACCOA	0.0044527	0.008566299999999999
RuBisC	Supply_COA	0.0032248	0.0043149
RuBisC	Supply_P_i	0.50121	0.24615999999999993
RuBisC	Supply_FUM	-0.0060035	0.005985221
PGK	RuBisC	-0.019666	0.04868299999999999
PGK	PGK	0.0020207	0.00222915
PGK	GAPD	0.002095	0.00225779
PGK	TPI	0.011874	0.015633
PGK	ALD	-0.0060627	0.0061684
PGK	TKT1	0.010491	0.01018455
