model_id	kegg_id
RuBP	C01182
CO2_cax	C00288
P3G	C00197
ATP	C00002
ADP	C00008
BPG	C00236
NADPH	C00005
NADP	C00006
P_i	C00009
GAP	C00118
DHAP	C00111
FBP	C00354
F6P	C00085
E4P	C00279
Xu5P	C00231
S7P	C05382
R5P	C00117
H2O	C00001
SBP	C00447
Ru5P	C00199
P2G	C00631
PEP	C00074
PYR	C00022
NAD	C00003
COA	C00010
ACCOA	C00024
NADH	C00004
CO2_cyt	C00288
ACETP	C00227
G6P	C00092
GL6P	C01236
P6G	C00345
OAA	C00036
CIT	C00158
ICI	C00311
O2G	C00026
MAL	C00149
PG	C00988
GLC	C00160
O2	C00007
GLX	C00048
H2O2	C00027
FUM	C00122
