NAME	Min [mM]	Max [mM]
BPG	0.0001	0.0905373
P2G	0.0327963	0.836828
P3G	0.242579	11.5148
ADP	0.0427715	4.1867
DHAP	0.0222383	6.19442
E4P	0.00102107	99.9998
F6P	0.172823	4.79236
FBP	0.0162942	7.06937
GAP	0.0214946	100
NADPH	0.000207787	36.4853
PEP	0.170069	2.99344
P_i	1	20
R5P	0.0253747	0.158798
Ru5P	0.00765143	0.0694708
RuBP	0.0592774	11.2311
S7P	0.014547	4.33294
SBP	0.0001	99.4623
Xu5P	0.0297951	14.8887
PYR	0.0001	100
ACETP	0.0001	100
ATP	0.030121	43.4319
NADP	0.00548865	1.31574
O2	0.273	0.273
CO2_cax	0.15	0.15
CO2_cyt	0.0136	0.0136
ACCOA	0.00249867	0.963945
NADH	0.000100001	0.227964
NAD	0.00639636	0.652417
COA	0.0001	99.996
NADPH/NADP	0.0378572	27.7303
ATP/ADP	0.0594318	15.463
NADH/NAD	0.00463872	0.349415
G6P	0.0906404	7.1198
GL6P	0.000100001	100
P6G	0.0070164	16.3808
OAA	0.0001	99.9998
CIT	2.43184	2.48
ICI	0.0001	100
O2G	0.00331	0.00331868
MAL	0.014234	2.06021
PG	0.0001	100
GLC	1.32757	100
GLX	0.000111724	0.0084157
H2O2	0.0001	100
FUM	0.00355302	100
PPool	1.1	5
H2O	1000	1000
